property_id,title,property_category,locality,micro_location,facing,size_value,size_unit,price_value,price_unit,price_notes,highlights,investment_tags,reel_url,is_active,created_date
PRV-FLAT-001,New 2BHK Flats near Andhra University,Apartment,China Waltair,Opp AU Out Gate,North & South,1062,SFT,7250,per SFT,"Amenities + parking ₹3L extra","Lift, Generator, Car Parking","Rental demand, Prime locality",https://www.instagram.com/reel/DSQdwmaE9jk/,TRUE,2025-01-01
PRV-PLOT-002,VUDA Approved Plot near Bheemili Beach,Plot,Bheemili,Near Amey World School,West,266,Sq Yards,23000,per Sq Yard,"Clear title","Near beach, NH access","Investment, Appreciation",https://www.instagram.com/reel/DR5SNxUkxQM/,TRUE,2025-01-01
PRV-LAND-003,Premium Land in Anandhpuram,Land,Anandhpuram,Bhogapuram belt,South,30,Cents,5,Lakhs per Cent,"Ideal for villas","Growth corridor","Long-term investment",https://www.instagram.com/reel/DRxcztjk6zv/,TRUE,2025-01-01
PRV-HOUSE-004,Luxury Duplex House in Madhurawada,Independent House,Madhurawada,Prime locality,West,4200,SFT,6500,per SFT,"Luxury interiors","Home theatre, Italian marble","Premium living",https://www.instagram.com/reel/DRmf02TkXSL/,TRUE,2025-01-01
PRV-PLOT-005,VUDA Approved Plots in Bheemili,Plot,Bheemili,Residential zone,North-East,888,Sq Yards,,,"Price on request","Ideal for construction","Investment",https://www.instagram.com/reel/DRX8RrPEzOY/,TRUE,2025-01-01
